"","city_origin","city_destination","origin_lat","origin_long","destin_lat","destin_long"
"2435","HIGHISLAND","MISSISSIPPIRIVER",29.5668955,-94.3935216,38.3349047,-92.2113914
"2436","FREEPORT","HIGHISLAND",26.5416093,-78.6455475,29.5668955,-94.3935216
"2437","MISSISSIPPIRIVER","AL/FLBORDER",38.3349047,-92.2113914,30.5736051,-87.4122681
"2438","HIGHISLAND","MISSISSIPPIRIVER",29.5668955,-94.3935216,38.3349047,-92.2113914
"2439","FREEPORT","HIGHISLAND",26.5416093,-78.6455475,29.5668955,-94.3935216
"2440","MISSISSIPPIRIVER","AL/FLBORDER",38.3349047,-92.2113914,30.5736051,-87.4122681
"2441","HIGHISLAND","MISSISSIPPIRIVER",29.5668955,-94.3935216,38.3349047,-92.2113914
"2442","FREEPORT","HIGHISLAND",26.5416093,-78.6455475,29.5668955,-94.3935216
"2443","MISSISSIPPIRIVER","AL/FLBORDER",38.3349047,-92.2113914,30.5736051,-87.4122681
"2444","HIGHISLAND","MISSISSIPPIRIVER",29.5668955,-94.3935216,38.3349047,-92.2113914
"2445","FREEPORT","HIGHISLAND",26.5416093,-78.6455475,29.5668955,-94.3935216
"2446","MISSISSIPPIRIVER","AL/FLBORDER",38.3349047,-92.2113914,30.5736051,-87.4122681
"2447","HIGHISLAND","MISSISSIPPIRIVER",29.5668955,-94.3935216,38.3349047,-92.2113914
"2448","MISSISSIPPIRIVER","AL/FLBORDER",38.3349047,-92.2113914,30.5736051,-87.4122681
"2449","HIGHISLAND","MISSISSIPPIRIVER",29.5668955,-94.3935216,38.3349047,-92.2113914
"2450","MISSISSIPPIRIVER","AL/FLBORDER",38.3349047,-92.2113914,30.5736051,-87.4122681
"2451","HIGHISLAND","MISSISSIPPIRIVER",29.5668955,-94.3935216,38.3349047,-92.2113914
"2452","MISSISSIPPIRIVER","AL/FLBORDER",38.3349047,-92.2113914,30.5736051,-87.4122681
"2453","HIGHISLAND","MISSISSIPPIRIVER",29.5668955,-94.3935216,38.3349047,-92.2113914
"2454","MISSISSIPPIRIVER","AL/FLBORDER",38.3349047,-92.2113914,30.5736051,-87.4122681
"2455","HIGHISLAND","MISSISSIPPIRIVER",29.5668955,-94.3935216,38.3349047,-92.2113914
"2456","MISSISSIPPIRIVER","AL/FLBORDER",38.3349047,-92.2113914,30.5736051,-87.4122681
"2457","SANLUISPASS","MORGANCITY",29.0824652,-95.1215959,29.6993748,-91.20677
"2458","SANLUISPASS","MORGANCITY",29.0824652,-95.1215959,29.6993748,-91.20677
"2459","HIGHISLAND","PASCAGOULA",29.5668955,-94.3935216,30.3657552,-88.5561272
"2460","HIGHISLAND","PASCAGOULA",29.5668955,-94.3935216,30.3657552,-88.5561272
"2461","INTRACOASTALCITY","MORGANCITY",29.7843773,-92.1562386,29.6993748,-91.20677
"2462","HIGHISLAND","PASCAGOULA",29.5668955,-94.3935216,30.3657552,-88.5561272
"2463","INTRACOASTALCITY","MORGANCITY",29.7843773,-92.1562386,29.6993748,-91.20677
"2464","HIGHISLAND","PASCAGOULA",29.5668955,-94.3935216,30.3657552,-88.5561272
"2465","INTRACOASTALCITY","MORGANCITY",29.7843773,-92.1562386,29.6993748,-91.20677
"2466","HIGHISLAND","PASCAGOULA",29.5668955,-94.3935216,30.3657552,-88.5561272
"2467","INTRACOASTALCITY","MORGANCITY",29.7843773,-92.1562386,29.6993748,-91.20677
"2468","HIGHISLAND","PASCAGOULA",29.5668955,-94.3935216,30.3657552,-88.5561272
"2469","INTRACOASTALCITY","MORGANCITY",29.7843773,-92.1562386,29.6993748,-91.20677
