"","long","lat","distance_track","distance_watch","origin_lat","origin_long","origin_ref","destin_lat","destin_long","destin_ref","date_analyzed","max_category","watchzone_ref_long","watchzone_ref_lat","intersection_long","intersection_lat","intersect_ref_long","intersect_ref_lat"
"1427",-92.16,29.9,42.7001922600163,8.56284880173038,29.4782878,-94.5799145,555,30.51572,-86.1362,1153,"03",5,-92.1488037109375,29.7766151428223,-91.5357360839844,29.6047306060791,-91.5,29.6
"1428",-92.02,29.9,35.5442694400618,4.05795707143597,29.4782878,-94.5799145,555,30.51572,-86.1362,1153,"03",5,-91.9826431274414,29.8511028289795,-91.5357360839844,29.6047306060791,-91.5,29.6
"1429",-91.88,29.9,29.0673272949022,3.38310016716497,29.4782878,-94.5799145,555,30.51572,-86.1362,1153,"03",5,-91.8795166015625,29.8511028289795,-91.5357360839844,29.6047306060791,-91.5,29.6
"1430",-91.74,29.9,23.8296099946615,7.76957843868647,29.4782878,-94.5799145,555,30.51572,-86.1362,1153,"03",5,-91.8565902709961,29.8511028289795,-91.5357360839844,29.6047306060791,-91.5,29.6
"1431",-91.6,29.9,20.7898505692264,8.58995540351829,29.4782878,-94.5799145,555,30.51572,-86.1362,1153,"03",5,-91.6159515380859,29.7766151428223,-91.5357360839844,29.6047306060791,-91.5,29.6
"1432",-91.46,29.9,20.9287466914648,12.5056237589939,29.4782878,-94.5799145,555,30.51572,-86.1362,1153,"03",5,-91.598762512207,29.765157699585,-91.5357360839844,29.6047306060791,-91.5,29.6
"1433",-91.32,29.9,24.1916092505619,19.155778439856,29.4782878,-94.5799145,555,30.51572,-86.1362,1153,"03",5,-91.598762512207,29.765157699585,-91.5357360839844,29.6047306060791,-91.5,29.6
"1434",-91.18,29.9,29.5614991228874,26.8085361000585,29.4782878,-94.5799145,555,30.51572,-86.1362,1153,"03",5,-91.598762512207,29.765157699585,-91.5357360839844,29.6047306060791,-91.5,29.6
"1435",-91.04,29.9,36.1103424303891,31.3740874574294,29.4782878,-94.5799145,555,30.51572,-86.1362,1153,"03",5,-91.2893676757812,29.5015983581543,-91.5357360839844,29.6047306060791,-91.5,29.6
"1436",-90.9,29.9,43.3065483027908,32.4479836415031,29.4782878,-94.5799145,555,30.51572,-86.1362,1153,"03",5,-90.4184646606445,30.1146621704102,-91.5357360839844,29.6047306060791,-91.5,29.6
"1437",-90.76,29.9,50.876146438614,25.283631882225,29.4782878,-94.5799145,555,30.51572,-86.1362,1153,"03",5,-90.4184646606445,30.1146621704102,-91.5357360839844,29.6047306060791,-91.5,29.6
"1438",-90.62,29.9,58.6747921492361,19.1404741483985,29.4782878,-94.5799145,555,30.51572,-86.1362,1153,"03",5,-90.4184646606445,30.1146621704102,-91.5357360839844,29.6047306060791,-91.5,29.6
"1439",-90.48,29.9,66.6220889911657,14.7077472990553,29.4782878,-94.5799145,555,30.51572,-86.1362,1153,"03",5,-90.3611755371094,30.0860137939453,-91.5357360839844,29.6047306060791,-91.5,29.6
"1440",-90.34,29.9,74.6705787812165,12.5417332711691,29.4782878,-94.5799145,555,30.51572,-86.1362,1153,"03",5,-90.2637710571289,30.0688247680664,-91.5357360839844,29.6047306060791,-91.5,29.6
"1555",-92.58,30.04,69.5386334097192,29.347118000325,29.4782878,-94.5799145,555,30.51572,-86.1362,1153,"03",5,-92.8019714355469,29.6620254516602,-91.5357360839844,29.6047306060791,-91.5,29.6
"1556",-92.44,30.04,62.0710836550306,23.8353080983793,29.4782878,-94.5799145,555,30.51572,-86.1362,1153,"03",5,-92.2003707885742,29.765157699585,-91.5357360839844,29.6047306060791,-91.5,29.6
"1557",-92.3,30.04,54.8747807595267,19.9318345840845,29.4782878,-94.5799145,555,30.51572,-86.1362,1153,"03",5,-92.2003707885742,29.765157699585,-91.5357360839844,29.6047306060791,-91.5,29.6
"1558",-92.16,30.04,48.0717088441502,16.8477112637593,29.4782878,-94.5799145,555,30.51572,-86.1362,1153,"03",5,-91.9826431274414,29.8511028289795,-91.5357360839844,29.6047306060791,-91.5,29.6
"1559",-92.02,30.04,41.85407200877,13.2594427152331,29.4782878,-94.5799145,555,30.51572,-86.1362,1153,"03",5,-91.9826431274414,29.8511028289795,-91.5357360839844,29.6047306060791,-91.5,29.6
